pkgname,pkgbase,repo,arch,pkgver,pkgrel,epoch,pkgdesc,url,filename,compressed_size,installed_size,build_date,last_update,flag_date,packager
"apitrace","apitrace","extra","x86_64","11.1","3","0","Graphics API Tracing","https://github.com/apitrace/apitrace","apitrace-11.1-3-x86_64.pkg.tar.zst","3434017","20850509","2024-05-05T02:53:09Z","2024-05-05T03:10:52.775Z","2024-06-08T09:20:52.470Z","serebit"
"apk-tools","apk-tools","extra","x86_64","2.14.5","1","0","Alpine Package Keeper - package manager for alpine","https://gitlab.alpinelinux.org/alpine/apk-tools","apk-tools-2.14.5-1-x86_64.pkg.tar.zst","172199","413163","2024-10-29T18:09:00Z","2024-10-29T18:11:47.749Z","null","Antiz"
"apko","apko","extra","x86_64","0.20.0","1","0","Declarative APK-based container building tool with support for sigstore signatures","https://github.com/chainguard-dev/apko","apko-0.20.0-1-x86_64.pkg.tar.zst","8885869","29225074","2024-11-18T12:32:12Z","2024-11-18T12:36:13.306Z","null","kpcyrd"
"apksigcopier","apksigcopier","extra","any","1.1.1","3","0","copy/extract/patch android apk signatures & compare apks","https://github.com/obfusk/apksigcopier","apksigcopier-1.1.1-3-any.pkg.tar.zst","37756","159746","2024-04-05T13:49:59Z","2024-04-27T09:55:56.751Z","null","jelle"
"apostrophe","apostrophe","extra","any","3.2","1","0","Distraction free Markdown editor","https://apps.gnome.org/Apostrophe/","apostrophe-3.2-1-any.pkg.tar.zst","368871","1864082","2024-10-29T15:08:21Z","2024-10-29T15:12:19.370Z","null","bgyorgy"
"app-icon-preview","app-icon-preview","extra","x86_64","3.4.0","2","0","Tool for designing applications icons","https://gitlab.gnome.org/World/design/app-icon-preview","app-icon-preview-3.4.0-2-x86_64.pkg.tar.zst","2872518","6753321","2024-11-11T22:06:08Z","2024-11-11T22:12:13.143Z","null","bgyorgy"
"apparmor","apparmor","extra","x86_64","4.0.3","1","0","Mandatory Access Control (MAC) using Linux Security Module (LSM)","https://gitlab.com/apparmor/apparmor","apparmor-4.0.3-1-x86_64.pkg.tar.zst","1258655","4667587","2024-10-14T21:02:37Z","2024-10-22T07:45:52.850Z","null","dvzrv"
"appmenu-gtk-module","appmenu-gtk-module","extra","x86_64","24.05","1","0","Application Menu GTK+ Module","https://gitlab.com/vala-panel-project/vala-panel-appmenu/","appmenu-gtk-module-24.05-1-x86_64.pkg.tar.zst","49084","217072","2024-05-26T18:00:51Z","2024-05-26T18:07:47.084Z","null","arojas"
"apprise","apprise","extra","any","1.9.0","1","0","Push Notifications that work with just about every platform","https://github.com/caronc/apprise","apprise-1.9.0-1-any.pkg.tar.zst","1340557","7581315","2024-09-04T20:31:58Z","2024-09-04T21:10:39.424Z","null","polyzen"
"appstream-generator","appstream-generator","extra","x86_64","0.9.1","5","0","A fast AppStream metadata generator","https://github.com/ximion/appstream-generator","appstream-generator-0.9.1-5-x86_64.pkg.tar.zst","703188","3279020","2024-07-07T12:28:44Z","2024-07-07T12:39:59.265Z","null","wild"
"appstream-glib","appstream-glib","extra","x86_64","0.8.3","2","0","Objects and methods for reading and writing AppStream metadata","https://people.freedesktop.org/~hughsient/appstream-glib/","appstream-glib-0.8.3-2-x86_64.pkg.tar.zst","538131","3856679","2024-08-24T10:21:11Z","2024-09-14T11:41:09.825Z","null","Foxboron"
"appstream-qt","appstream","extra","x86_64","1.0.3","1","0","Qt6 interface for AppStream","https://distributions.freedesktop.org/wiki/AppStream","appstream-qt-1.0.3-1-x86_64.pkg.tar.zst","120742","560846","2024-04-24T21:16:11Z","2024-04-24T21:21:22.418Z","null","arojas"
"appstream-qt5","appstream","extra","x86_64","1.0.3","1","0","Qt5 interface for AppStream","https://distributions.freedesktop.org/wiki/AppStream","appstream-qt5-1.0.3-1-x86_64.pkg.tar.zst","87783","378300","2024-04-24T21:16:11Z","2024-04-24T21:21:22.870Z","null","arojas"
"appstream","appstream","extra","x86_64","1.0.3","1","0","Provides a standard for creating app stores across distributions","https://distributions.freedesktop.org/wiki/AppStream","appstream-1.0.3-1-x86_64.pkg.tar.zst","2270525","17144615","2024-04-24T21:16:11Z","2024-04-24T21:21:21.756Z","null","arojas"
"apptainer","apptainer","extra","x86_64","1.3.4","1","0","Application containers for secure high performance computing","https://apptainer.org/","apptainer-1.3.4-1-x86_64.pkg.tar.zst","22045861","112698923","2024-09-22T21:05:54Z","2024-09-22T21:44:33.360Z","null","grawlinson"
"apr-util","apr-util","extra","x86_64","1.6.3","2","0","The Apache Portable Runtime","https://apr.apache.org/","apr-util-1.6.3-2-x86_64.pkg.tar.zst","172722","699581","2024-09-16T16:39:52Z","2024-09-18T05:57:10.493Z","null","carsme"
"apr","apr","extra","x86_64","1.7.5","3","0","The Apache Portable Runtime","https://apr.apache.org/","apr-1.7.5-3-x86_64.pkg.tar.zst","287249","1216577","2024-09-16T17:36:14Z","2024-09-18T05:57:09.935Z","null","carsme"
"apt-docs","apt","extra","x86_64","2.9.10","1","0","Documentation for apt","https://salsa.debian.org/apt-team/apt","apt-docs-2.9.10-1-x86_64.pkg.tar.zst","948434","13441214","2024-10-23T00:03:41Z","2024-10-23T00:07:03.738Z","null","gromit"
"apt","apt","extra","x86_64","2.9.10","1","0","Command-line package manager used on Debian-based systems","https://salsa.debian.org/apt-team/apt","apt-2.9.10-1-x86_64.pkg.tar.zst","2749412","8546146","2024-10-23T00:03:41Z","2024-10-23T00:07:03.128Z","null","gromit"
"aqbanking","aqbanking","extra","x86_64","6.5.4","2","0","A library for online banking and financial applications","https://www.aquamaniac.de/rdm/projects/aqbanking","aqbanking-6.5.4-2-x86_64.pkg.tar.zst","1095769","7739630","2024-07-11T22:52:05Z","2024-07-11T22:54:59.270Z","null","blakkheim"
"aquamarine","aquamarine","extra","x86_64","0.5.0","1","0","a very light linux rendering backend library","https://github.com/hyprwm/aquamarine","aquamarine-0.5.0-1-x86_64.pkg.tar.zst","350230","1244915","2024-11-16T20:20:27Z","2024-11-16T20:47:16.851Z","null","alerque"
"arandr","arandr","extra","any","0.1.11","3","0","Provide a simple visual front end for XRandR 1.2.","https://christian.amsuess.com/tools/arandr/","arandr-0.1.11-3-any.pkg.tar.zst","96506","326953","2024-04-06T19:14:59Z","2024-04-27T09:55:57.625Z","null","arojas"
"arbtt","arbtt","extra","x86_64","0.12.0.3","41","0","Automatic Rule-Based Time Tracker","http://arbtt.nomeata.de/","arbtt-0.12.0.3-41-x86_64.pkg.tar.zst","384934","3091224","2024-10-23T13:25:38Z","2024-10-23T17:13:35.731Z","null","felixonmars"
"arc-gtk-theme","arc-gtk-theme","extra","any","20221218","2","0","A flat theme with transparent elements for GTK 2,3,4 and Gnome-Shell","https://github.com/jnsh/arc-theme","arc-gtk-theme-20221218-2-any.pkg.tar.zst","346880","7752363","2024-05-06T11:24:35Z","2024-05-06T11:34:06.113Z","null","gromit"
"arc-icon-theme","arc-icon-theme","extra","any","20161122","4","0","Arc icon theme. Official releases only.","https://github.com/horst3180/arc-icon-theme","arc-icon-theme-20161122-4-any.pkg.tar.zst","3806779","8074917","2024-09-06T18:54:45Z","2024-09-06T18:56:48.247Z","null","arojas"
"arc-solid-gtk-theme","arc-gtk-theme","extra","any","20221218","2","0","A flat theme for GTK 3, GTK 2 and Gnome-Shell (without transparency)","https://github.com/jnsh/arc-theme","arc-solid-gtk-theme-20221218-2-any.pkg.tar.zst","347350","7739779","2024-05-06T11:24:35Z","2024-05-06T11:34:06.895Z","null","gromit"
"arca","arca","extra","x86_64","1.0.0","1","0","Archiver for compressed files","https://mauikit.org/","arca-1.0.0-1-x86_64.pkg.tar.zst","84851","277084","2024-09-05T07:26:23Z","2024-09-05T07:30:15.236Z","null","arojas"
"arch-audit-gtk","arch-audit-gtk","extra","x86_64","0.3.1","1","0","Arch Linux Security Update Notifications","https://github.com/kpcyrd/arch-audit-gtk","arch-audit-gtk-0.3.1-1-x86_64.pkg.tar.zst","716916","2072994","2021-11-04T12:05:02Z","2023-05-19T15:41:19.100Z","null","kpcyrd"
"arch-audit","arch-audit","extra","x86_64","0.2.0","2","0","A utility like pkg-audit based on Arch Security Team data","https://gitlab.archlinux.org/archlinux/arch-audit","arch-audit-0.2.0-2-x86_64.pkg.tar.zst","2023945","5118384","2024-09-09T10:40:22Z","2024-09-14T11:41:10.471Z","null","kpcyrd"
"arch-hs","arch-hs","extra","x86_64","0.11.1.0","188","0","Distribute hackage packages to archlinux","https://github.com/berberman/arch-hs","arch-hs-0.11.1.0-188-x86_64.pkg.tar.zst","484719","2990730","2024-10-23T14:50:02Z","2024-10-23T17:13:36.158Z","null","felixonmars"
"arch-install-scripts","arch-install-scripts","extra","any","29","1","0","Scripts to aid in installing Arch Linux","https://gitlab.archlinux.org/archlinux/arch-install-scripts","arch-install-scripts-29-1-any.pkg.tar.zst","15912","37589","2024-10-20T18:49:44Z","2024-10-30T21:58:28.258Z","null","Foxboron"
"arch-rebuild-order","arch-rebuild-order","extra","x86_64","0.4.4","1","0","CLI tool to determine the rebuild order of provided package(s)","https://gitlab.archlinux.org/archlinux/arch-rebuild-order","arch-rebuild-order-0.4.4-1-x86_64.pkg.tar.zst","326442","831069","2024-09-15T13:02:41Z","2024-09-15T13:05:49.101Z","null","jelle"
"arch-release-promotion","arch-release-promotion","extra","any","0.3.0","2","0","Promote official releases with signatures and additional artifacts","https://gitlab.archlinux.org/archlinux/arch-release-promotion","arch-release-promotion-0.3.0-2-any.pkg.tar.zst","57469","286438","2024-04-13T09:35:27Z","2024-04-27T09:55:58.037Z","null","dvzrv"
"arch-repro-status","arch-repro-status","extra","x86_64","1.4.1","2","0","Check the reproducibility status of your Arch Linux packages","https://gitlab.archlinux.org/archlinux/arch-repro-status","arch-repro-status-1.4.1-2-x86_64.pkg.tar.zst","1439921","3771138","2024-09-09T10:56:28Z","2024-09-14T11:41:11.818Z","null","kpcyrd"
"arch-signoff","arch-signoff","extra","any","0.5.2","5","0","Sign off Arch Linux testing packages","https://github.com/archlinux/arch-signoff","arch-signoff-0.5.2-5-any.pkg.tar.zst","19247","63449","2024-10-02T19:38:33Z","2024-10-02T19:40:12.062Z","null","jelle"
"arch-wiki-docs","arch-wiki-docs","extra","any","20241101","1","0","Pages from Arch Wiki optimized for offline browsing","https://github.com/lahwaacz/arch-wiki-docs","arch-wiki-docs-20241101-1-any.pkg.tar.zst","15431153","168104455","2024-11-01T15:26:05Z","2024-11-01T15:45:42.332Z","null","Lahwaacz"
"arch-wiki-lite","arch-wiki-lite","extra","any","20241101","1","0","Arch Wiki without HTML. 1/9 as big, easily searched & viewable on console","https://gitlab.archlinux.org/grawlinson/arch-wiki-lite","arch-wiki-lite-20241101-1-any.pkg.tar.zst","17197842","17373587","2024-11-01T15:42:35Z","2024-11-01T15:45:43.427Z","null","Lahwaacz"
"archinstall","archinstall","extra","any","3.0.0","1","0","Just another guided/automated Arch Linux installer with a twist","https://github.com/archlinux/archinstall","archinstall-3.0.0-1-any.pkg.tar.zst","734924","5242430","2024-11-17T10:32:06Z","2024-11-17T10:36:52.512Z","null","torxed"
"archiso","archiso","extra","any","81","1","0","Tools for creating Arch Linux live and install iso images","https://gitlab.archlinux.org/archlinux/archiso","archiso-81-1-any.pkg.tar.zst","99880","233754","2024-10-28T19:14:26Z","2024-10-28T19:16:49.028Z","null","dvzrv"
"archivetools","archivetools","extra","any","4","1","0","Arch Linux Archive Tools","https://gitlab.archlinux.org/archlinux/archivetools","archivetools-4-1-any.pkg.tar.zst","9296","18639","2024-05-04T23:16:05Z","2024-05-04T23:18:28.471Z","null","gromit"
"archlinux-appstream-data","archlinux-appstream-data","extra","any","20240914","1","0","Arch Linux application database for AppStream-based software centers","https://www.archlinux.org","archlinux-appstream-data-20240914-1-any.pkg.tar.zst","20045600","21010624","2024-09-14T10:30:33Z","2024-09-14T10:33:52.319Z","null","arojas"
"archlinux-contrib","archlinux-contrib","extra","any","20240823","1","0","Collection of contrib scripts used in Arch Linux","https://github.com/archlinux/contrib","archlinux-contrib-20240823-1-any.pkg.tar.zst","17951","54647","2024-08-22T22:34:11Z","2024-08-22T22:36:04.977Z","null","Antiz"
"archlinux-keyring","archlinux-keyring","core","any","20241015","1","0","Arch Linux PGP keyring","https://gitlab.archlinux.org/archlinux/archlinux-keyring/","archlinux-keyring-20241015-1-any.pkg.tar.zst","1232106","1752548","2024-10-15T21:28:21Z","2024-10-16T09:52:40.880Z","null","eworm"
"archlinux-repro","archlinux-repro","extra","any","20240527","1","0","Tools to reproduce Arch Linux packages","https://github.com/archlinux/archlinux-repro","archlinux-repro-20240527-1-any.pkg.tar.zst","14112","30220","2024-06-17T11:48:45Z","2024-06-17T11:50:27.511Z","null","kpcyrd"
"archlinux-themes-slim","archlinux-themes-slim","extra","any","1.2","7","0","Arch Linux branded themes for the SLiM login manager","https://www.archlinux.org/","archlinux-themes-slim-1.2-7-any.pkg.tar.zst","242971","377517","2024-07-11T22:54:39Z","2024-07-11T22:56:21.984Z","null","blakkheim"
"archlinux-userland-fs-cmp","archlinux-userland-fs-cmp","extra","x86_64","0.1.0","1","0","Forensic tool to read all installed packages from a mounted Arch Linux drive and compare the filesystem to a trusted source","https://github.com/kpcyrd/archlinux-userland-fs-cmp","archlinux-userland-fs-cmp-0.1.0-1-x86_64.pkg.tar.zst","2322904","6914840","2024-02-01T10:31:46Z","2024-02-01T10:37:59.932Z","null","kpcyrd"
"archlinux-wallpaper","archlinux-wallpaper","extra","any","1.6.1","7","0","Arch Linux Wallpapers","https://bbs.archlinux.org/viewtopic.php?id=259604","archlinux-wallpaper-1.6.1-7-any.pkg.tar.zst","37440357","38019185","2024-07-11T22:55:25Z","2024-07-11T22:58:40.088Z","null","blakkheim"
"archlinux-xdg-menu","archlinux-xdg-menu","extra","any","0.7.6.6","2","0","automatic generate WM menu from xdg files","https://wiki.archlinux.org/index.php/XdgMenu","archlinux-xdg-menu-0.7.6.6-2-any.pkg.tar.zst","38617","138932","2024-07-11T22:56:59Z","2024-07-11T22:58:40.560Z","null","blakkheim"
"ardour","ardour","extra","x86_64","8.10","2","0","Professional-grade digital audio workstation","https://ardour.org/","ardour-8.10-2-x86_64.pkg.tar.zst","21556833","102024721","2024-11-06T16:39:12Z","2024-11-07T20:01:08.632Z","null","dvzrv"
"arduino-avr-core","arduino-avr-core","extra","any","1.8.6","1","0","Arduino AVR core with upstream avr-gcc and avrdude","https://github.com/arduino/ArduinoCore-avr","arduino-avr-core-1.8.6-1-any.pkg.tar.zst","4067178","17981282","2024-06-08T17:32:10Z","2024-06-08T17:34:42.224Z","null","arojas"
"arduino-builder","arduino-builder","extra","x86_64","1.6.1","3","0","A command line tool for compiling Arduino sketches","https://github.com/arduino/arduino-builder","arduino-builder-1.6.1-3-x86_64.pkg.tar.zst","4903669","15209697","2024-09-07T12:15:24Z","2024-09-07T12:17:21.605Z","null","arojas"
"arduino-cli","arduino-cli","extra","x86_64","1.0.3","1","0","Arduino command line interface","https://github.com/arduino/arduino-cli","arduino-cli-1.0.3-1-x86_64.pkg.tar.zst","6587593","22994632","2024-07-24T17:52:01Z","2024-07-24T17:54:40.953Z","2024-10-14T13:33:58.885Z","arojas"
"arduino-ctags","arduino-ctags","extra","x86_64","5.8_arduino11","4","0","A mix of ctags and anjuta-tags for the perfect C++ ctags","https://github.com/arduino/ctags","arduino-ctags-5.8_arduino11-4-x86_64.pkg.tar.zst","130483","304396","2020-07-07T12:54:37Z","2023-05-19T15:41:23.557Z","null","felixonmars"
"arduino-fwuploader","arduino-fwuploader","extra","x86_64","2.4.1","2","0","Update the firmware or add SSL certificates for any Arduino with WINC or NINA Wi-Fi","https://github.com/arduino/arduino-fwuploader","arduino-fwuploader-2.4.1-2-x86_64.pkg.tar.zst","4496000","13939025","2024-04-06T10:10:57Z","2024-04-06T10:23:45.738Z","null","alucryd"
"arduino-ide","arduino-ide","extra","x86_64","2.3.3","1","0","Open-source electronics prototyping platform","https://github.com/arduino/arduino-ide","arduino-ide-2.3.3-1-x86_64.pkg.tar.zst","21827697","123147288","2024-09-26T18:11:34Z","2024-09-26T18:19:06.952Z","null","alucryd"
"arduino-language-server","arduino-language-server","extra","x86_64","0.7.6","1","0","An Arduino Language Server based on Clangd to Arduino code autocompletion","https://github.com/arduino/arduino-language-server","arduino-language-server-0.7.6-1-x86_64.pkg.tar.zst","4502533","15096686","2024-02-06T16:21:06Z","2024-02-06T16:39:39.423Z","null","orhun"
"argbash","argbash","extra","any","2.10.0","3","0","Bash argument parsing code generator","https://argbash.io","argbash-2.10.0-3-any.pkg.tar.zst","44245","170327","2024-07-11T23:34:18Z","2024-07-11T23:39:06.187Z","null","blakkheim"
"argocd","argocd","extra","x86_64","2.12.3","1","0","Declarative continuous deployment for Kubernetes","https://argo-cd.readthedocs.io/en/stable/","argocd-2.12.3-1-x86_64.pkg.tar.zst","36199408","155878147","2024-09-18T13:30:25Z","2024-09-18T13:37:42.821Z","null","daurnimator"
"argon2","argon2","core","x86_64","20190702","6","0","A password-hashing function (reference C implementation)","https://github.com/P-H-C/phc-winner-argon2","argon2-20190702-6-x86_64.pkg.tar.zst","34128","108564","2024-07-23T16:53:38Z","2024-07-24T15:53:18.171Z","null","eworm"
"argparse","argparse","extra","any","3.1","1","0","Argument Parser for Modern C++","https://github.com/p-ranav/argparse","argparse-3.1-1-any.pkg.tar.zst","21179","93084","2024-07-18T21:47:53Z","2024-07-18T21:50:29.332Z","null","serebit"
"argtable","argtable","extra","x86_64","2.13","6","0","An ANSI C library for parsing GNU style command line options with a minimum of fuss","http://argtable.sourceforge.net/","argtable-2.13-6-x86_64.pkg.tar.zst","108876","303771","2024-08-22T19:17:39Z","2024-08-22T19:20:05.011Z","null","dvzrv"
"argyllcms","argyllcms","extra","x86_64","3.3.0","1","0","An ICC compatible color management system with support for different colorimeter hardware","https://www.argyllcms.com/","argyllcms-3.3.0-1-x86_64.pkg.tar.zst","7659696","119391484","2024-09-27T18:44:52Z","2024-09-27T18:48:39.688Z","null","arojas"
"aria2","aria2","extra","x86_64","1.37.0","1","0","Download utility that supports HTTP(S), FTP, BitTorrent, and Metalink","https://aria2.github.io","aria2-1.37.0-1-x86_64.pkg.tar.zst","1496989","5596159","2023-11-21T09:18:23Z","2023-11-21T09:23:05.857Z","null","felixonmars"
"arianna","arianna","extra","x86_64","24.08.3","1","0","EPub Reader for mobile devices","https://apps.kde.org/arianna/","arianna-24.08.3-1-x86_64.pkg.tar.zst","332020","734977","2024-11-05T14:25:13Z","2024-11-07T13:57:17.043Z","null","arojas"
"aribb24","aribb24","extra","x86_64","1.0.3","4","0","Library for ARIB STD-B24, decoding JIS 8 bit characters and parsing MPEG-TS stream","https://github.com/nkoriyama/aribb24","aribb24-1.0.3-4-x86_64.pkg.tar.zst","44517","122955","2024-07-11T23:35:11Z","2024-07-11T23:39:07.106Z","null","blakkheim"
"aribb25","aribb25","extra","x86_64","0.2.7","3","0","Library for ARIB STD-B25, decoding JIS 8 bit characters and parsing MPEG-TS stream","https://code.videolan.org/videolan/aribb25","aribb25-0.2.7-3-x86_64.pkg.tar.zst","31470","93328","2024-07-11T23:35:44Z","2024-07-11T23:39:07.524Z","null","blakkheim"
"ario","ario","extra","x86_64","1.6","4","0","A GTK client for MPD inspired by Rhythmbox but much lighter and faster","http://ario-player.sourceforge.net/","ario-1.6-4-x86_64.pkg.tar.zst","422519","1480532","2024-07-11T23:36:20Z","2024-07-11T23:39:07.989Z","null","blakkheim"
"arj","arj","extra","x86_64","3.10.22","14","0","Free and portable clone of the ARJ archiver","http://arj.sourceforge.net/","arj-3.10.22-14-x86_64.pkg.tar.zst","138407","319598","2024-09-06T19:04:05Z","2024-09-06T19:06:59.899Z","null","arojas"
"ark","ark","extra","x86_64","24.08.3","1","0","Archiving Tool","https://apps.kde.org/ark/","ark-24.08.3-1-x86_64.pkg.tar.zst","1488246","5106662","2024-11-05T15:54:46Z","2024-11-07T13:57:17.548Z","null","arojas"
"arm-none-eabi-binutils","arm-none-eabi-binutils","extra","x86_64","2.43","1","0","A set of programs to assemble and manipulate binary and object files for the ARM EABI (bare-metal) target","https://www.gnu.org/software/binutils/","arm-none-eabi-binutils-2.43-1-x86_64.pkg.tar.zst","3709994","19010866","2024-11-16T23:53:41Z","2024-11-17T19:47:48.105Z","null","anatolik"
"arm-none-eabi-gcc","arm-none-eabi-gcc","extra","x86_64","14.1.0","1","0","The GNU Compiler Collection - cross compiler for ARM EABI (bare-metal) target","https://gcc.gnu.org/","arm-none-eabi-gcc-14.1.0-1-x86_64.pkg.tar.zst","251254633","1853414097","2024-05-11T21:51:45Z","2024-05-11T23:07:40.447Z","2024-08-02T09:22:20.804Z","anatolik"
"arm-none-eabi-gdb","arm-none-eabi-gdb","extra","x86_64","14.2","2","0","The GNU Debugger for the ARM EABI (bare-metal) target","https://www.gnu.org/software/gdb/","arm-none-eabi-gdb-14.2-2-x86_64.pkg.tar.zst","3551125","9283766","2024-04-05T16:27:13Z","2024-04-27T09:57:49.679Z","2024-07-20T22:28:21.246Z","arojas"
"arm-none-eabi-newlib","arm-none-eabi-newlib","extra","any","4.4.0.20231231","2","0","A C standard library implementation intended for use on embedded systems (ARM bare metal)","https://www.sourceware.org/newlib/","arm-none-eabi-newlib-4.4.0.20231231-2-any.pkg.tar.zst","22454699","326516457","2024-09-30T11:56:56Z","2024-09-30T12:24:43.082Z","null","gromit"
"armagetronad","armagetronad","extra","x86_64","0.2.9.2.3","2","0","A Tron Clone in 3D","http://armagetronad.net/","armagetronad-0.2.9.2.3-2-x86_64.pkg.tar.zst","1375163","3966760","2024-09-13T19:37:25Z","2024-09-13T19:41:05.562Z","null","arojas"
"arp-scan","arp-scan","extra","x86_64","1.10.0","4","0","A tool that uses ARP to discover and fingerprint IP hosts on the local network","https://github.com/royhills/arp-scan","arp-scan-1.10.0-4-x86_64.pkg.tar.zst","484715","1546297","2023-12-15T21:10:47Z","2023-12-15T21:14:28.325Z","null","mtorromeo"
"arpack","arpack","extra","x86_64","3.9.1","3","0","Fortran77 subroutines for solving large scale eigenvalue problems","https://github.com/opencollab/arpack-ng","arpack-3.9.1-3-x86_64.pkg.tar.zst","182498","631628","2024-04-28T18:17:14Z","2024-05-01T09:21:30.947Z","null","Lahwaacz"
"arpwatch","arpwatch","extra","x86_64","3.6","1","0","Ethernet/FDDI station activity monitor","https://ee.lbl.gov/","arpwatch-3.6-1-x86_64.pkg.tar.zst","345738","1136076","2024-02-14T21:56:18Z","2024-02-14T22:30:13.654Z","null","spupykin"
"arrayfire","arrayfire","extra","x86_64","3.9.0","8","0","High performance software library for parallel computing with an easy-to-use API","https://arrayfire.com","arrayfire-3.9.0-8-x86_64.pkg.tar.zst","124757963","1671725087","2024-11-12T01:48:01Z","2024-11-16T05:09:27.373Z","null","svenstaro"
"arrow","arrow","extra","x86_64","17.0.0","8","0","Columnar in-memory analytics layer for big data.","https://arrow.apache.org","arrow-17.0.0-8-x86_64.pkg.tar.zst","8465056","42647405","2024-11-17T20:14:56Z","2024-11-17T20:30:42.112Z","2024-11-16T13:10:14.154Z","Lahwaacz"
"arti","arti","extra","x86_64","1.3.0","1","0","An implementation of Tor in Rust","https://gitlab.torproject.org/tpo/core/arti","arti-1.3.0-1-x86_64.pkg.tar.zst","3376691","9332616","2024-10-31T18:35:47Z","2024-10-31T18:49:03.107Z","null","kpcyrd"
"artikulate","artikulate","extra","x86_64","24.08.3","1","0","Improve your pronunciation by listening to native speakers","https://apps.kde.org/artikulate/","artikulate-24.08.3-1-x86_64.pkg.tar.zst","1150584","2474824","2024-11-05T13:46:03Z","2024-11-07T13:57:18.083Z","null","arojas"
"artyfx","artyfx","extra","x86_64","1.3.1","3","0","A plugin bundle of artistic real-time audio effects","http://openavproductions.com/artyfx/","artyfx-1.3.1-3-x86_64.pkg.tar.zst","122633","689272","2024-07-11T23:37:39Z","2024-07-11T23:55:50.561Z","null","blakkheim"
"asar","asar","extra","any","3.2.8","1","0","Creating Electron app packages","https://github.com/electron/asar","asar-3.2.8-1-any.pkg.tar.zst","171100","541909","2024-02-09T17:14:12Z","2024-02-09T17:16:31.255Z","null","svenstaro"
"ascii","ascii","extra","x86_64","3.30","2","0","Utility for conversion between various byte representations and the ASCII character table","http://www.catb.org/~esr/ascii","ascii-3.30-2-x86_64.pkg.tar.zst","15313","46870","2024-09-06T19:15:53Z","2024-09-10T16:42:11.586Z","null","carsme"
"asciidoc","asciidoc","extra","any","10.2.1","1","0","Text document format for short documents, articles, books and UNIX man pages","https://asciidoc-py.github.io","asciidoc-10.2.1-1-any.pkg.tar.zst","618108","2441660","2024-07-17T08:46:22Z","2024-07-17T09:35:52.604Z","null","alerque"
"asciidoctor-pdf","asciidoctor-pdf","extra","any","2.3.19","1","0","A native PDF converter for AsciiDoc based on Asciidoctor and Prawn","https://github.com/asciidoctor/asciidoctor-pdf","asciidoctor-pdf-2.3.19-1-any.pkg.tar.zst","1671711","4643825","2024-10-13T13:50:09Z","2024-10-14T14:22:12.155Z","null","carsme"
"asciidoctor","asciidoctor","extra","any","2.0.23","3","0","An implementation of AsciiDoc in Ruby","https://asciidoctor.org","asciidoctor-2.0.23-3-any.pkg.tar.zst","381634","1703827","2024-10-01T23:56:50Z","2024-10-14T14:22:11.453Z","null","Segaja"
"asciinema","asciinema","extra","any","2.4.0","3","0","Record and share terminal sessions","https://asciinema.org/","asciinema-2.4.0-3-any.pkg.tar.zst","127470","445901","2024-04-04T10:39:55Z","2024-04-27T09:55:59.909Z","null","alerque"
"asciiquarium","asciiquarium","extra","any","1.1","7","0","An aquarium/sea animation in ASCII art","https://robobunny.com/projects/asciiquarium/html","asciiquarium-1.1-7-any.pkg.tar.zst","10282","28739","2024-07-11T23:38:22Z","2024-07-11T23:55:47.812Z","null","blakkheim"
"asio","asio","extra","any","1.30.2","1","0","Cross-platform C++ library for ASynchronous network I/O","https://think-async.com/Asio/","asio-1.30.2-1-any.pkg.tar.zst","422189","5071186","2024-09-16T19:47:43Z","2024-09-16T19:50:56.149Z","null","arojas"
"aspell-ca","aspell-ca","extra","x86_64","2.5.0","3","0","Catalan dictionary for aspell","https://www.softcatala.org/pub/softcatala/aspell/","aspell-ca-2.5.0-3-x86_64.pkg.tar.zst","1387582","4532598","2024-07-11T23:40:27Z","2024-07-11T23:55:51.001Z","null","blakkheim"
"aspell-cs","aspell-cs","extra","x86_64","20040614","11","0","Czech dictionary for aspell","http://aspell.net/","aspell-cs-20040614-11-x86_64.pkg.tar.zst","2229768","6639723","2024-07-11T23:41:00Z","2024-07-11T23:55:51.430Z","null","blakkheim"
"aspell-da","aspell-da","extra","any","4.3","2","0","Danish dictionary for aspell","https://github.com/mortenivar/aspell-da","aspell-da-4.3-2-any.pkg.tar.zst","14750303","63282421","2024-05-30T07:33:52Z","2024-05-30T07:35:55.575Z","null","Antiz"
"aspell-de","aspell-de","extra","x86_64","20161207.7.0","2","0","German dictionary for aspell","https://ftp.gnu.org/gnu/aspell/dict/de/","aspell-de-20161207.7.0-2-x86_64.pkg.tar.zst","793290","2119949","2024-07-07T07:44:00Z","2024-07-07T07:45:37.073Z","null","pierre"
"aspell-el","aspell-el","extra","any","0.08","6","0","Greek dictionary for aspell","https://www.elspell.gr/","aspell-el-0.08-6-any.pkg.tar.zst","4688777","19016555","2024-07-04T23:03:54Z","2024-07-04T23:06:25.393Z","null","Antiz"
"aspell-en","aspell-en","extra","x86_64","2020.12.07","2","0","English dictionary for aspell","http://aspell.net/","aspell-en-2020.12.07-2-x86_64.pkg.tar.zst","1243461","4334800","2024-07-11T23:41:37Z","2024-07-11T23:55:51.846Z","null","blakkheim"
